https://www.comp.hkbu.edu.hk/v1/?page=highlights
Research Highlights
[0, highlights]
[1, find]
[2, hkbu]
[3, sci]
[4, buniport]
[5, library]
[6, alumni]
[7, job]
[8, vacancies]
[9, intranet]
[10, sitemap]
[11, home]
[12, about]
[13, us]
[14, people]
[15, research]
[16, prospective]
[17, students]
[18, current]
[19, students]
[20, facilities]
[21, message]
[22, from]
[23, head]
[24, what]
[25, s]
[26, new]
[27, achievements]
[28, newsletter]
[29, profile]
[30, video]
[31, introduction]
[32, contact]
[33, ]
[34, ]
[35, direction]
[36, faculty]
[37, members]
[38, supporting]
[39, staff]
[40, research]
[41, ]
[42, ]
[43, development]
[44, staff]
[45, postgraduate]
[46, students]
[47, areas]
[48, centres]
[49, funded]
[50, projects]
[51, journal]
[52, editorship]
[53, technical]
[54, reports]
[55, conferences]
[56, undergraduate]
[57, ]
[58, jupas]
[59, undergraduate]
[60, ]
[61, non]
[62, jupas]
[63, postgraduate]
[64, msc]
[65, in]
[66, advanced]
[67, information]
[68, systems]
[69, msc]
[70, in]
[71, it]
[72, management]
[73, undergraduate]
[74, postgraduate]
[75, msc]
[76, ais]
[77, msc]
[78, itm]
[79, introduction]
[80, facilities]
[81, for]
[82, students]
[83, facilities]
[84, for]
[85, staff]
[86, and]
[87, rpg]
[88, only]
[89, teaching]
[90, facilities]
[91, research]
[92, facilities]
[93, news]
[94, ]
[95, ]
[96, achievements]
[97, events]
[98, video]
[99, research]
[100, highlights]
[101, contact]
[102, ]
[103, ]
[104, direction]
[105, highlights]
[106, some]
[107, of]
[108, the]
[109, project]
[110, highlights]
[111, of]
[112, the]
[113, department]
[114, are]
[115, listed]
[116, below]
[117, artificial]
[118, intelligence]
[119, and]
[120, machine]
[121, learning]
[122, ]
[123, aiml]
[124, big]
[125, data]
[126, and]
[127, data]
[128, management]
[129, ]
[130, bddm]
[131, computer]
[132, vision]
[133, and]
[134, pattern]
[135, recognition]
[136, ]
[137, cvpr]
[138, distributed]
[139, systems]
[140, and]
[141, networking]
[142, ]
[143, dsan]
[144, artificial]
[145, intelligence]
[146, and]
[147, machine]
[148, learning]
[149, aiml]
[150, how]
[151, serendipity]
[152, improves]
[153, user]
[154, satisfaction]
[155, with]
[156, recommendations]
[157, a]
[158, large]
[159, scale]
[160, user]
[161, evaluation]
[162, staff]
[163, dr]
[164, chen]
[165, li]
[166, objectives]
[167, to]
[168, identify]
[169, the]
[170, causal]
[171, relationships]
[172, from]
[173, novelty]
[174, unexpectedness]
[175, relevance]
[176, and]
[177, timeliness]
[178, to]
[179, serendipity]
[180, and]
[181, from]
[182, serendipity]
[183, to]
[184, user]
[185, satisfaction]
[186, and]
[187, purchase]
[188, intention]
[189, to]
[190, reveal]
[191, the]
[192, moderating]
[193, effects]
[194, of]
[195, user]
[196, curiosity]
[197, on]
[198, the]
[199, relationships]
[200, from]
[201, novelty]
[202, to]
[203, serendipity]
[204, and]
[205, from]
[206, serendipity]
[207, to]
[208, satisfaction]
[209, to]
[210, compare]
[211, four]
[212, algorithms]
[213, for]
[214, recommending]
[215, e]
[216, commerce]
[217, products]
[218, in]
[219, terms]
[220, of]
[221, user]
[222, perceptions]
[223, macro]
