https://www.hkstp.org/en/about-us/who-we-are
Who We Are | HKSTP
[0, about]
[1, us]
[2, our]
[3, partner]
[4, companies]
[5, innovate]
[6, with]
[7, us]
[8, tech]
[9, x]
[10, industry]
[11, our]
[12, community]
[13, join]
[14, us]
[15, contact]
[16, us]
[17, home]
[18, about]
[19, us]
[20, who]
[21, we]
[22, are]
[23, about]
[24, us]
[25, who]
[26, we]
[27, are]
[28, our]
[29, milestones]
[30, our]
[31, footprint]
[32, our]
[33, awards]
[34, our]
[35, future]
[36, our]
[37, management]
[38, the]
[39, board]
[40, committees]
[41, our]
[42, partner]
[43, companies]
[44, company]
[45, directory]
[46, partner]
[47, companies]
[48, stories]
[49, awards]
[50, accolades]
[51, our]
[52, alumni]
[53, innovate]
[54, with]
[55, us]
[56, why]
[57, hong]
[58, kong]
[59, seize]
[60, life]
[61, changing]
[62, opportunities]
[63, found]
[64, in]
[65, hong]
[66, kong]
[67, s]
[68, strategic]
[69, location]
[70, and]
[71, entrepreneurial]
[72, environment]
[73, pre]
[74, incubation]
[75, kick]
[76, start]
[77, your]
[78, business]
[79, with]
[80, our]
[81, support]
[82, and]
[83, expertise]
[84, incubation]
[85, turn]
[86, ideas]
[87, into]
[88, assets]
[89, with]
[90, our]
[91, comprehensive]
[92, programmes]
[93, and]
[94, funding]
[95, support]
[96, acceleration]
[97, fast]
[98, track]
[99, your]
[100, business]
[101, to]
[102, success]
[103, with]
[104, our]
[105, industry]
[106, network]
[107, and]
[108, all]
[109, round]
[110, support]
[111, investment]
[112, opportunities]
[113, connect]
[114, with]
[115, hkstp]
[116, ventures]
[117, as]
[118, well]
[119, as]
[120, various]
[121, investors]
[122, and]
[123, funding]
[124, channels]
[125, global]
[126, network]
[127, leverage]
[128, our]
[129, global]
[130, connections]
[131, to]
[132, launch]
[133, your]
[134, business]
[135, in]
[136, china]
[137, and]
[138, onto]
[139, the]
[140, world]
[141, stage]
[142, go]
[143, to]
[144, market]
[145, commercialise]
[146, your]
[147, solutions]
[148, to]
[149, put]
[150, your]
[151, business]
[152, on]
[153, the]
[154, map]
[155, lab]
[156, and]
[157, technology]
[158, services]
[159, access]
[160, world]
[161, class]
[162, r]
[163, d]
[164, equipment]
[165, and]
[166, dedicated]
[167, technical]
[168, experts]
[169, tailored]
[170, to]
[171, industry]
[172, needs]
[173, talent]
[174, support]
[175, find]
[176, promising]
[177, talent]
[178, from]
[179, all]
[180, over]
[181, the]
[182, world]
[183, and]
[184, build]
[185, your]
[186, dream]
[187, team]
[188, backed]
[189, by]
[190, funding]
[191, and]
[192, talent]
[193, programmes]
[194, accommodation]
[195, support]
[196, get]
[197, access]
[198, to]
[199, subsidies]
[200, and]
[201, on]
[202, site]
[203, accommodation]
[204, for]
[205, you]
